nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,nome_proprietario,tipo_proprietario,endereco_correspondencia,cidade_correspondencia,estado_correspondencia,cep_correspondencia
Silver Lake RV & MH Estates,rv_park,"4305 US-20, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6354424,-85.0704441,OPERATIONAL,3.3,107,Silver Lake RV & MH Estates,business,"4305 US-20, Angola, IN 46703, USA",Angola,IN,46703
West Otter Lake Campground,campground,"160 Ln 110 West Otter Lake, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6411926,-85.1653632,OPERATIONAL,4.4,82,West Otter Lake Campground,business,"160 Ln 110 West Otter Lake, Angola, IN 46703, USA",Angola,IN,46703
Colonial Court Mobile Home Park & Colonial Home Sales,rv_park,"205 W Marshall St, Argos, IN 46501, USA",Argos,IN,46501,Marshall County,41.2438926,-86.2532501,OPERATIONAL,4.1,53,Colonial Court Mobile Home Park & Colonial Home Sales,business,"205 W Marshall St, Argos, IN 46501, USA",Argos,IN,46501
"Klumpe Family Kampground, LLC",campground,"5509 N 200 E, Attica, IN 47918, USA",Attica,IN,47918,Warren County,40.3964202,-87.2818129,OPERATIONAL,4.8,79,"Klumpe Family Kampground, LLC",business,"5509 N 200 E, Attica, IN 47918, USA",Attica,IN,47918
Off The Trail Vacation Rentals & Campground,campground,"3970 N Xavier Rd, Attica, IN 47918, USA",Attica,IN,47918,Fountain County,40.2717129,-87.2613886,OPERATIONAL,4.6,285,Off The Trail Vacation Rentals & Campground,business,"3970 N Xavier Rd, Attica, IN 47918, USA",Attica,IN,47918
Auburn Crossing,rv_park,"1112 W Seventh St, Auburn, IN 46706, USA",Auburn,IN,46706,DeKalb County,41.3674894,-85.0765089,OPERATIONAL,3.7,144,Auburn Crossing,business,"1112 W Seventh St, Auburn, IN 46706, USA",Auburn,IN,46706
Fireside Resort RV Park,rv_park,"5612 Co Rd 11A, Auburn, IN 46706, USA",Auburn,IN,46706,DeKalb County,41.3290006,-85.0904474,OPERATIONAL,3.6,160,Fireside Resort RV Park,business,"5612 Co Rd 11A, Auburn, IN 46706, USA",Auburn,IN,46706
CampShore Camp Ground,campground,"8548 IN-56, Aurora, IN 47001, USA",Aurora,IN,47001,Ohio County,38.9969377,-84.8578757,OPERATIONAL,4.3,49,CampShore Camp Ground,business,"8548 IN-56, Aurora, IN 47001, USA",Aurora,IN,47001
Beechwood Pointe Austin Mobile Home Park,rv_park,"1301 W York Rd Lot 6, Austin, IN 47102, USA",Austin,IN,47102,Scott County,38.7349143,-85.8238805,OPERATIONAL,3.6,72,Beechwood Pointe Austin Mobile Home Park,business,"1301 W York Rd Lot 6, Austin, IN 47102, USA",Austin,IN,47102
Avon Village Mobile Home Park,rv_park,"235 Avon Village Dr, Avon, IN 46123, USA",Avon,IN,46123,Hendricks County,39.7613380,-86.3558989,OPERATIONAL,3.9,128,Avon Village Mobile Home Park,business,"235 Avon Village Dr, Avon, IN 46123, USA",Avon,IN,46123
Batesville KOA Journey,rv_park,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006,Ripley County,39.2754666,-85.1313178,OPERATIONAL,4.1,319,Batesville KOA Journey,business,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006
Thousand Trails Indian Lakes,rv_park,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006,Ripley County,39.2773905,-85.1281241,OPERATIONAL,3.7,675,Thousand Trails Indian Lakes,business,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006
Camp Bedford,campground,"33 Church Camp Rd, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8156930,-86.4860360,OPERATIONAL,4.7,52,Camp Bedford,business,"33 Church Camp Rd, Bedford, IN 47421, USA",Bedford,IN,47421
Free Spirit Campground,rv_park,"4140 Erie Church Rd, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8883423,-86.3413332,OPERATIONAL,4.5,94,Free Spirit Campground,business,"4140 Erie Church Rd, Bedford, IN 47421, USA",Bedford,IN,47421
Town & Country Mobile Home Park,rv_park,"3104 29th St, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8459061,-86.5131752,OPERATIONAL,3.3,11,Town & Country Mobile Home Park,business,"3104 29th St, Bedford, IN 47421, USA",Bedford,IN,47421
Camp Livingston,campground,"4998 Nell Lee Rd, Bennington, IN 47011, USA",Bennington,IN,47011,Switzerland County,38.8502345,-85.1116044,OPERATIONAL,4.6,37,Camp Livingston,business,"4998 Nell Lee Rd, Bennington, IN 47011, USA",Bennington,IN,47011
Drakes Ridge Rustic Nudist Retreat,campground,"9641 Drakes Ridge Rd, Bennington, IN 47011, USA",Bennington,IN,47011,Switzerland County,38.8273970,-85.1063800,OPERATIONAL,4.5,60,Drakes Ridge Rustic Nudist Retreat,business,"9641 Drakes Ridge Rd, Bennington, IN 47011, USA",Bennington,IN,47011
Berne Mobile Home Park,rv_park,"345 Jackson St, Berne, IN 46711, USA",Berne,IN,46711,Adams County,40.6606597,-84.9464903,OPERATIONAL,4.7,26,Berne Mobile Home Park,business,"345 Jackson St, Berne, IN 46711, USA",Berne,IN,46711
Patoka Lake,campground,"3084 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3837010,-86.6439988,OPERATIONAL,4.6,309,Patoka Lake,business,"3084 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513
Whispering Meadows,rv_park,"9307 N Zimmerman Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3763850,-86.6500685,OPERATIONAL,4.7,24,Whispering Meadows,business,"9307 N Zimmerman Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513
Wildridge RV Resort,rv_park,"2905 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3787249,-86.6442091,OPERATIONAL,4.6,108,Wildridge RV Resort,business,"2905 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513
Peaceful Waters Campground,campground,"3325 US-41, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832,Parke County,39.8164610,-87.2361980,OPERATIONAL,4.5,300,Peaceful Waters Campground,business,"3325 US-41, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832
Turkey Run Canoe & Camping,campground,"870 IN-47, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832,Parke County,39.8781090,-87.2259220,OPERATIONAL,4.1,403,Turkey Run Canoe & Camping,business,"870 IN-47, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832
Arlington Valley,rv_park,"1600 N Willis Dr, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1820099,-86.5439104,OPERATIONAL,3.5,289,Arlington Valley,business,"1600 N Willis Dr, Bloomington, IN 47404, USA",Bloomington,IN,47404
Country Club Terrace Mobile Home Park,rv_park,"400 W Terrace Dr, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1280479,-86.5369567,OPERATIONAL,3.3,34,Country Club Terrace Mobile Home Park,business,"400 W Terrace Dr, Bloomington, IN 47403, USA",Bloomington,IN,47403
E&N Mobile Home Community,rv_park,"900 N Curry Pike lot 7, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1755714,-86.5820239,OPERATIONAL,3.5,50,E&N Mobile Home Community,business,"900 N Curry Pike lot 7, Bloomington, IN 47404, USA",Bloomington,IN,47404
Garden Hill Mobile Home Park,rv_park,"4111 W Vernal Pike, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1771659,-86.5815505,OPERATIONAL,3.4,99,Garden Hill Mobile Home Park,business,"4111 W Vernal Pike, Bloomington, IN 47404, USA",Bloomington,IN,47404
Heatherwood Mobile Home Community,rv_park,"3660 S Leonard Springs Rd, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1270298,-86.5839611,OPERATIONAL,3.3,234,Heatherwood Mobile Home Community,business,"3660 S Leonard Springs Rd, Bloomington, IN 47403, USA",Bloomington,IN,47403
Jami Lou Seasonal RV Campground,campground,"3800 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1233362,-86.4347305,OPERATIONAL,5.0,10,Jami Lou Seasonal RV Campground,business,"3800 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401
Jellystone Park™ Lake Monroe,rv_park,"9396 S Strain Ridge Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0259728,-86.5230524,OPERATIONAL,4.4,684,Jellystone Park™ Lake Monroe,business,"9396 S Strain Ridge Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401
Knightridge Campground,campground,"4398 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1134074,-86.4313621,OPERATIONAL,4.5,31,Knightridge Campground,business,"4398 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401
Lake Monroe Village,campground,"8107 S Fairfax Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0518442,-86.4940584,OPERATIONAL,4.3,252,Lake Monroe Village,business,"8107 S Fairfax Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401
Lamplighter Estates Mobile,rv_park,"1700 S Curry Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1504919,-86.5848516,OPERATIONAL,3.8,48,Lamplighter Estates Mobile,business,"1700 S Curry Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403
Longview Mobile Home Park,rv_park,"345 S Muller Pkwy, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1627930,-86.5635413,OPERATIONAL,4.0,47,Longview Mobile Home Park,business,"345 S Muller Pkwy, Bloomington, IN 47403, USA",Bloomington,IN,47403
Mackenzie Park,rv_park,"2005 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1459379,-86.5382961,OPERATIONAL,4.0,24,Mackenzie Park,business,"2005 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403
Monroe Causeway Campground,campground,"7407 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0645469,-86.4089134,OPERATIONAL,4.7,48,Monroe Causeway Campground,business,"7407 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401
Paynetown Campground,campground,"State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0816734,-86.4358790,OPERATIONAL,4.6,606,Paynetown Campground,business,"State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401
Scenic View Seasonal Campground,campground,"4592 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1075730,-86.4317017,OPERATIONAL,4.0,4,Scenic View Seasonal Campground,business,"4592 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401
Shady Acres,rv_park,"708 S Cory Ln Lot 22, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1596166,-86.5621959,OPERATIONAL,3.8,13,Shady Acres,business,"708 S Cory Ln Lot 22, Bloomington, IN 47403, USA",Bloomington,IN,47403
South Rogers Mobile Home Community,rv_park,"2304 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1423149,-86.5410156,OPERATIONAL,4.0,20,South Rogers Mobile Home Community,business,"2304 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403
Southcrest Estates,rv_park,"315 W Gordon Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1207342,-86.5354574,OPERATIONAL,3.4,184,Southcrest Estates,business,"315 W Gordon Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403
Bluffton / Fort Wayne South KOA Journey,rv_park,"1625 W Lancaster St, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7461727,-85.1934997,OPERATIONAL,4.1,332,Bluffton / Fort Wayne South KOA Journey,business,"1625 W Lancaster St, Bluffton, IN 46714, USA",Bluffton,IN,46714
Bluffton Woods Manufactured Home Community,rv_park,"404 Eastmoor Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7431221,-85.1586837,OPERATIONAL,3.6,99,Bluffton Woods Manufactured Home Community,business,"404 Eastmoor Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714
Creekside (Prev Mendenhalls) RV/Mobile Park,rv_park,"3427 IN-124, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7427635,-85.1574606,OPERATIONAL,4.0,24,Creekside (Prev Mendenhalls) RV/Mobile Park,business,"3427 IN-124, Bluffton, IN 46714, USA",Bluffton,IN,46714
Maple Grove Estates,rv_park,"1056 Crescent Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7303338,-85.1822667,OPERATIONAL,3.8,24,Maple Grove Estates,business,"1056 Crescent Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714
Ouabache State Park Campground,campground,"Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7191391,-85.0987545,OPERATIONAL,4.6,14,Ouabache State Park Campground,business,"Bluffton, IN 46714, USA",Bluffton,IN,46714
Walnut Grove Campground,campground,"7440 W 400 N, Boggstown, IN 46110, USA",Boggstown,IN,46110,Shelby County,39.5870680,-85.9220770,OPERATIONAL,4.1,116,Walnut Grove Campground,business,"7440 W 400 N, Boggstown, IN 46110, USA",Boggstown,IN,46110
Deam Lake Family Campground,campground,"Deam Lake Family Campground, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4739225,-85.8638826,OPERATIONAL,4.4,195,Deam Lake Family Campground,business,"Deam Lake Family Campground, Borden, IN 47106, USA",Borden,IN,47106
Deam Lake Horse Campground,campground,"Deam Lake Horse Campground, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4742181,-85.8605298,OPERATIONAL,4.4,35,Deam Lake Horse Campground,business,"Deam Lake Horse Campground, Borden, IN 47106, USA",Borden,IN,47106
Deam Lake State Recreation Area,campground,"1217 Deam Lake Rd, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4667354,-85.8619667,OPERATIONAL,4.4,1912,Deam Lake State Recreation Area,business,"1217 Deam Lake Rd, Borden, IN 47106, USA",Borden,IN,47106
Fallen Rock RV Parke & Campground,campground,"8816 S Fallen Rock Rd, Brazil, IN 47834, USA",Brazil,IN,47834,Parke County,39.6381480,-87.0588320,OPERATIONAL,4.6,66,Fallen Rock RV Parke & Campground,business,"8816 S Fallen Rock Rd, Brazil, IN 47834, USA",Brazil,IN,47834
"Happy Campers Campground, Inc.",campground,"7233 N County Rd 500 E, Brazil, IN 47834, USA",Brazil,IN,47834,Clay County,39.4923028,-87.0177522,OPERATIONAL,4.7,47,"Happy Campers Campground, Inc.",business,"7233 N County Rd 500 E, Brazil, IN 47834, USA",Brazil,IN,47834
Pla-Mor Campground,campground,"2162 US-6, Bremen, IN 46506, USA",Bremen,IN,46506,Marshall County,41.4553531,-86.1010936,OPERATIONAL,4.3,401,Pla-Mor Campground,business,"2162 US-6, Bremen, IN 46506, USA",Bremen,IN,46506
Rupert's Resort Campground,campground,"3408 W Shore Dr, Bremen, IN 46506, USA",Bremen,IN,46506,Marshall County,41.4299543,-86.2374123,OPERATIONAL,3.9,129,Rupert's Resort Campground,business,"3408 W Shore Dr, Bremen, IN 46506, USA",Bremen,IN,46506
Willow Rose RV Park,campground,"3203 E Allen St, Bridgeton, IN 47836, USA",Bridgeton,IN,47836,Parke County,39.6474093,-87.1748514,OPERATIONAL,4.4,14,Willow Rose RV Park,business,"3203 E Allen St, Bridgeton, IN 47836, USA",Bridgeton,IN,47836
Eby's Pines RV Park & Campground,rv_park,"14588 IN-120, Bristol, IN 46507, USA",Bristol,IN,46507,Elkhart County,41.7232088,-85.7485187,OPERATIONAL,4.1,599,Eby's Pines RV Park & Campground,business,"14588 IN-120, Bristol, IN 46507, USA",Bristol,IN,46507
Timberbrook Manufactured Home Community,rv_park,"54686 Co Rd 19, Bristol, IN 46507, USA",Bristol,IN,46507,Elkhart County,41.7010301,-85.8699178,OPERATIONAL,3.0,275,Timberbrook Manufactured Home Community,business,"54686 Co Rd 19, Bristol, IN 46507, USA",Bristol,IN,46507
Indian-Celina Lakes Recreation Area,campground,"20230 St Croix Pl, Bristow, IN 47515, USA",Bristow,IN,47515,Perry County,38.1967060,-86.6093319,OPERATIONAL,4.6,97,Indian-Celina Lakes Recreation Area,business,"20230 St Croix Pl, Bristow, IN 47515, USA",Bristow,IN,47515
Indian-Celina Lakes South Slope Campground,campground,"Bristow, IN 47515, USA",Bristow,IN,47515,Perry County,38.1931610,-86.6078119,OPERATIONAL,4.6,70,Indian-Celina Lakes South Slope Campground,business,"Bristow, IN 47515, USA",Bristow,IN,47515
Franklin County Parks & Campground,campground,"7178 Blue Creek Rd, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4040917,-85.0164738,OPERATIONAL,4.7,118,Franklin County Parks & Campground,business,"7178 Blue Creek Rd, Brookville, IN 47012, USA",Brookville,IN,47012
Morgan's Outdoor Adventures,campground,"7040 Whitewater River Ln, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4126186,-85.0154315,OPERATIONAL,4.5,522,Morgan's Outdoor Adventures,business,"7040 Whitewater River Ln, Brookville, IN 47012, USA",Brookville,IN,47012
Mounds State Recreation Area,campground,"14108 IN-101, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4948532,-84.9632292,OPERATIONAL,4.5,1634,Mounds State Recreation Area,business,"14108 IN-101, Brookville, IN 47012, USA",Brookville,IN,47012
Hunter Woods Manufactured Home Community,rv_park,"9900 Sackett Dr, Brownsburg, IN 46112, USA",Brownsburg,IN,46112,Hendricks County,39.8216323,-86.3484878,OPERATIONAL,3.3,49,Hunter Woods Manufactured Home Community,business,"9900 Sackett Dr, Brownsburg, IN 46112, USA",Brownsburg,IN,46112
Hillview Mobile Home Court,rv_park,"420 S Asher St, Brownstown, IN 47220, USA",Brownstown,IN,47220,Jackson County,38.8739318,-86.0468673,OPERATIONAL,3.6,37,Hillview Mobile Home Court,business,"420 S Asher St, Brownstown, IN 47220, USA",Brownstown,IN,47220
Bruceville Rod & Gun Club,campground,"6015 N Rod and Gun Club, Bruceville, IN 47516, USA",Bruceville,IN,47516,Knox County,38.7663440,-87.4006467,OPERATIONAL,4.8,32,Bruceville Rod & Gun Club,business,"6015 N Rod and Gun Club, Bruceville, IN 47516, USA",Bruceville,IN,47516
Tall Oaks Family Campground,campground,"8040 N Tall Oaks Ct, Buffalo, IN 47925, USA",Buffalo,IN,47925,White County,40.8985085,-86.7240628,OPERATIONAL,4.2,50,Tall Oaks Family Campground,business,"8040 N Tall Oaks Ct, Buffalo, IN 47925, USA",Buffalo,IN,47925
Wood's Campground,campground,"10532 N Carthage Pike, Carthage, IN 46115, USA",Carthage,IN,46115,Rush County,39.7640254,-85.5425146,OPERATIONAL,4.3,100,Wood's Campground,business,"10532 N Carthage Pike, Carthage, IN 46115, USA",Carthage,IN,46115
Cotton Wood Camp Grounds,campground,"6271 Campground, Cedar Grove, IN 47016, USA",Cedar Grove,IN,47016,Franklin County,39.3510747,-84.9212044,OPERATIONAL,4.6,61,Cotton Wood Camp Grounds,business,"6271 Campground, Cedar Grove, IN 47016, USA",Cedar Grove,IN,47016
Cedar Lake Ministries RV Park,rv_park,"8816 W 137th Ave, Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303,Lake County,41.3710235,-87.4433500,OPERATIONAL,4.3,134,Cedar Lake Ministries RV Park,business,"8816 W 137th Ave, Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303
Cedar Lake Mobile Home Community,rv_park,"Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303,Lake County,41.3756968,-87.4430444,OPERATIONAL,3.8,18,Cedar Lake Mobile Home Community,business,"Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303
Camp Krietenstein,campground,"6445 E County Rd 575 N, Center Point, IN 47840, USA",Center Point,IN,47840,Putnam County,39.4745293,-86.9836333,OPERATIONAL,4.7,98,Camp Krietenstein,business,"6445 E County Rd 575 N, Center Point, IN 47840, USA",Center Point,IN,47840
Pinecrest Pointe Mobile Home Park,rv_park,"833 Tanglewood Dr, Chandler, IN 47610, USA",Chandler,IN,47610,Warrick County,38.0457802,-87.3548695,OPERATIONAL,3.6,69,Pinecrest Pointe Mobile Home Park,business,"833 Tanglewood Dr, Chandler, IN 47610, USA",Chandler,IN,47610
Summit View Pointe Mobile Home Park,rv_park,"500 Navajo Trce, Chandler, IN 47610, USA",Chandler,IN,47610,Warrick County,38.0314598,-87.3664550,OPERATIONAL,3.4,16,Summit View Pointe Mobile Home Park,business,"500 Navajo Trce, Chandler, IN 47610, USA",Chandler,IN,47610
Campground Charlestown State Park,campground,"Charlestown, IN 47111, USA",Charlestown,IN,47111,Clark County,38.4322337,-85.6349295,OPERATIONAL,4.5,107,Campground Charlestown State Park,business,"Charlestown, IN 47111, USA",Charlestown,IN,47111
Tunnel Mill Reservation,campground,"Charlestown, IN 47111, USA",Charlestown,IN,47111,Clark County,38.4839058,-85.6211231,OPERATIONAL,4.7,108,Tunnel Mill Reservation,business,"Charlestown, IN 47111, USA",Charlestown,IN,47111
"Royal Oaks MHP, LLC",rv_park,"4801 County Rd 67, Chesterfield, IN 46017, USA",Chesterfield,IN,46017,Madison County,40.1104814,-85.5807199,OPERATIONAL,4.3,47,"Royal Oaks MHP, LLC",business,"4801 County Rd 67, Chesterfield, IN 46017, USA",Chesterfield,IN,46017
