nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,telefone,website
Mounds State Park Family Campgrounds,campground,"Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1065342,-85.6159483,OPERATIONAL,4.6,103,(765) 642-6627,https://indianastateparks.reserveamerica.com/camping/mounds-state-park/r/campgroundDetails.do?contractCode=IN&parkId=570027
Muncie RV Resort,rv_park,"3230 E 75 N, Anderson, IN 46017, USA",Anderson,IN,46017,Madison County,40.1170624,-85.6105095,OPERATIONAL,4.2,429,(765) 259-3305,https://rjourney.com/park/in/muncie/?utm_source=gmb&utm_medium=organic&utm_campaign=muncie
Redbud Estates,rv_park,"1800 W 38th St, Anderson, IN 46013, USA",Anderson,IN,46013,Madison County,40.0772828,-85.7023465,OPERATIONAL,3.5,83,(765) 644-4479,https://umh.com/community/redbud-estates/
Rustic Manor Manufactured Home Community,rv_park,"1625 B St, Anderson, IN 46016, USA",Anderson,IN,46016,Madison County,40.0986983,-85.6608690,OPERATIONAL,3.4,70,(765) 615-4270,http://rusticmanormhp.com/
Shady Rest Mobile Parks,rv_park,"325 E Cross St #11, Anderson, IN 46012, USA",Anderson,IN,46012,Madison County,40.1349151,-85.6722953,OPERATIONAL,3.5,20,(317) 764-8313,
Apple Orchard Primitive Campground,campground,"New Holland Road, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7661924,-85.6314772,OPERATIONAL,4.5,71,(260) 468-2125,http://www.in.gov/dnr/parklake/2952.htm
Lost Bridge State Recreation Area,,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,,40.7697719,-85.6268729,OPERATIONAL,4.7,423,(260) 468-2125,http://www.in.gov/dnr/parklake/2952.htm
Salamonie Lake Modern Campground,campground,"9214 Lost Bridge Rd W, Andrews, IN 46702, USA",Andrews,IN,46702,Huntington County,40.7744707,-85.6396901,OPERATIONAL,4.6,135,(260) 468-2125,https://www.reserveamerica.com/explore/salamonie-lake/IN/570041/overview
Angola / Hogback Lake KOA Holiday,rv_park,"5251 US-20, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6333200,-85.0866300,OPERATIONAL,4.0,725,(260) 665-5353,https://koa.com/campgrounds/angola/?utm_source=google&utm_medium=organic&utm_campaign=gbp
Camp Sack-In,campground,"8740 E 40 S, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6417250,-84.8243940,OPERATIONAL,4.3,108,(260) 665-5166,http://www.campsack-in.com/
Happy Acres Campground,rv_park,"1940 S 300 W, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6145224,-85.0456061,OPERATIONAL,4.7,275,(260) 665-9843,http://camphappyacres.com/
Lake James Campground,campground,"3545 N Bay View Rd, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6937720,-85.0390076,OPERATIONAL,4.4,63,(419) 822-3744,
Silver Lake RV & MH Estates,rv_park,"4305 US-20, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6354424,-85.0704441,OPERATIONAL,3.3,107,(260) 665-3783,
West Otter Lake Campground,campground,"160 Ln 110 West Otter Lake, Angola, IN 46703, USA",Angola,IN,46703,Steuben County,41.6411926,-85.1653632,OPERATIONAL,4.4,82,(260) 665-8587,http://www.westotterlakecampground.com/
Colonial Court Mobile Home Park & Colonial Home Sales,rv_park,"205 W Marshall St, Argos, IN 46501, USA",Argos,IN,46501,Marshall County,41.2438926,-86.2532501,OPERATIONAL,4.1,53,(574) 892-5200,https://colonialcourtmhp.com/
"Klumpe Family Kampground, LLC",campground,"5509 N 200 E, Attica, IN 47918, USA",Attica,IN,47918,Warren County,40.3964202,-87.2818129,OPERATIONAL,4.8,79,(765) 490-1371,https://klumpefamilykampground.com/
Off The Trail Vacation Rentals & Campground,campground,"3970 N Xavier Rd, Attica, IN 47918, USA",Attica,IN,47918,Fountain County,40.2717129,-87.2613886,OPERATIONAL,4.6,285,(765) 762-6189,http://www.offthetrailcampground.com/
Auburn Crossing,rv_park,"1112 W Seventh St, Auburn, IN 46706, USA",Auburn,IN,46706,DeKalb County,41.3674894,-85.0765089,OPERATIONAL,3.7,144,(260) 508-3096,https://www.auburncrossingmhc.com/
Fireside Resort RV Park,rv_park,"5612 Co Rd 11A, Auburn, IN 46706, USA",Auburn,IN,46706,DeKalb County,41.3290006,-85.0904474,OPERATIONAL,3.6,160,(260) 925-6747,http://www.firesideresort.com/
CampShore Camp Ground,campground,"8548 IN-56, Aurora, IN 47001, USA",Aurora,IN,47001,Ohio County,38.9969377,-84.8578757,OPERATIONAL,4.3,49,(812) 438-2135,http://campshoreontheriver.com/
Beechwood Pointe Austin Mobile Home Park,rv_park,"1301 W York Rd Lot 6, Austin, IN 47102, USA",Austin,IN,47102,Scott County,38.7349143,-85.8238805,OPERATIONAL,3.6,72,(812) 480-2823,https://yougotithomes.com/community/beechwood-pointe/
Avon Village Mobile Home Park,rv_park,"235 Avon Village Dr, Avon, IN 46123, USA",Avon,IN,46123,Hendricks County,39.7613380,-86.3558989,OPERATIONAL,3.9,128,(317) 271-0795,http://www.avonvillagemhc.com/
Batesville KOA Journey,rv_park,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006,Ripley County,39.2754666,-85.1313178,OPERATIONAL,4.1,319,(800) 562-3418,https://koa.com/campgrounds/batesville/?utm_source=google&utm_medium=organic&utm_campaign=gbp
Thousand Trails Indian Lakes,rv_park,"7234 IN-46, Batesville, IN 47006, USA",Batesville,IN,47006,Ripley County,39.2773905,-85.1281241,OPERATIONAL,3.7,675,(812) 934-5496,https://thousandtrails.com/indiana/indian-lakes-rv-campground/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing
Camp Bedford,campground,"33 Church Camp Rd, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8156930,-86.4860360,OPERATIONAL,4.7,52,(812) 329-1222,https://campbedford.com/
Free Spirit Campground,rv_park,"4140 Erie Church Rd, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8883423,-86.3413332,OPERATIONAL,4.5,94,(812) 834-6164,https://www.facebook.com/Free-Spirit-Campground-100343968362246/
Town & Country Mobile Home Park,rv_park,"3104 29th St, Bedford, IN 47421, USA",Bedford,IN,47421,Lawrence County,38.8459061,-86.5131752,OPERATIONAL,3.3,11,(812) 275-4656,
Camp Livingston,campground,"4998 Nell Lee Rd, Bennington, IN 47011, USA",Bennington,IN,47011,Switzerland County,38.8502345,-85.1116044,OPERATIONAL,4.6,37,(812) 427-2202,http://www.camplivingston.com/
Drakes Ridge Rustic Nudist Retreat,campground,"9641 Drakes Ridge Rd, Bennington, IN 47011, USA",Bennington,IN,47011,Switzerland County,38.8273970,-85.1063800,OPERATIONAL,4.5,60,(812) 427-3914,http://www.drakesridge.com/
Berne Mobile Home Park,rv_park,"345 Jackson St, Berne, IN 46711, USA",Berne,IN,46711,Adams County,40.6606597,-84.9464903,OPERATIONAL,4.7,26,(260) 209-4118,https://knightscommunities.com/berne-indiana-berne-mobile-home-park/
Patoka Lake,campground,"3084 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3837010,-86.6439988,OPERATIONAL,4.6,309,(812) 338-5589,http://www.in.gov/dnr/parklake/2953.htm
Whispering Meadows,rv_park,"9307 N Zimmerman Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3763850,-86.6500685,OPERATIONAL,4.7,24,(970) 238-0555,
Wildridge RV Resort,rv_park,"2905 Dillard Rd, Birdseye, IN 47513, USA",Birdseye,IN,47513,Crawford County,38.3787249,-86.6442091,OPERATIONAL,4.6,108,(812) 685-2489,http://www.wildridgervresort.com/
Peaceful Waters Campground,campground,"3325 US-41, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832,Parke County,39.8164610,-87.2361980,OPERATIONAL,4.5,300,(765) 592-6458,https://www.peacefulwaterscampground.com/
Turkey Run Canoe & Camping,campground,"870 IN-47, Bloomingdale, IN 47832, USA",Bloomingdale,IN,47832,Parke County,39.8781090,-87.2259220,OPERATIONAL,4.1,403,(765) 597-2029,https://www.turkeyruncanoeandcamping.com/
Arlington Valley,rv_park,"1600 N Willis Dr, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1820099,-86.5439104,OPERATIONAL,3.5,289,(812) 339-5392,https://www.mhvillage.com/Communities/MobileHomePark.php?key=11762
Country Club Terrace Mobile Home Park,rv_park,"400 W Terrace Dr, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1280479,-86.5369567,OPERATIONAL,3.3,34,(812) 269-1105,
E&N Mobile Home Community,rv_park,"900 N Curry Pike lot 7, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1755714,-86.5820239,OPERATIONAL,3.5,50,(812) 269-8842,http://openmgmt.com/e&n
Garden Hill Mobile Home Park,rv_park,"4111 W Vernal Pike, Bloomington, IN 47404, USA",Bloomington,IN,47404,Monroe County,39.1771659,-86.5815505,OPERATIONAL,3.4,99,(812) 336-8004,
Heatherwood Mobile Home Community,rv_park,"3660 S Leonard Springs Rd, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1270298,-86.5839611,OPERATIONAL,3.3,234,(812) 200-4042,https://docs.google.com/forms/d/1Y05t3kdzzebxdryX74ffWUjhSZbjx62srSmCLJ0L0xw/edit
Jami Lou Seasonal RV Campground,campground,"3800 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1233362,-86.4347305,OPERATIONAL,5.0,10,(812) 994-1662,http://jamiloucampground.com/
Jellystone Park™ Lake Monroe,rv_park,"9396 S Strain Ridge Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0259728,-86.5230524,OPERATIONAL,4.4,684,(812) 824-3322,https://jellystonelakemonroe.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing
Knightridge Campground,campground,"4398 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1134074,-86.4313621,OPERATIONAL,4.5,31,(812) 318-0050,http://www.theknightridge.com/
Lake Monroe Village,campground,"8107 S Fairfax Rd, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0518442,-86.4940584,OPERATIONAL,4.3,252,(812) 287-6855,http://www.lakemonroevillage.com/
Lamplighter Estates Mobile,rv_park,"1700 S Curry Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1504919,-86.5848516,OPERATIONAL,3.8,48,(812) 825-9628,
Longview Mobile Home Park,rv_park,"345 S Muller Pkwy, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1627930,-86.5635413,OPERATIONAL,4.0,47,(812) 955-5003,http://longviewbloomington.com/
Mackenzie Park,rv_park,"2005 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1459379,-86.5382961,OPERATIONAL,4.0,24,(812) 336-6900,http://www.shaw-rentals.com/
Monroe Causeway Campground,campground,"7407 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0645469,-86.4089134,OPERATIONAL,4.7,48,(812) 837-9966,https://monroecausewaycamp.com/
Paynetown Campground,campground,"State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.0816734,-86.4358790,OPERATIONAL,4.6,606,(866) 622-6746,https://indianastateparks.reserveamerica.com/camping/monroe-lake/r/campgroundDetails.do?contractCode=IN&parkId=570050
Scenic View Seasonal Campground,campground,"4592 State Hwy 446, Bloomington, IN 47401, USA",Bloomington,IN,47401,Monroe County,39.1075730,-86.4317017,OPERATIONAL,4.0,4,(812) 837-9496,https://scenicviewbloomington.com/rv-campground/
Shady Acres,rv_park,"708 S Cory Ln Lot 22, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1596166,-86.5621959,OPERATIONAL,3.8,13,,
South Rogers Mobile Home Community,rv_park,"2304 S Rogers St, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1423149,-86.5410156,OPERATIONAL,4.0,20,(812) 252-2202,https://sgcommunities.com/community/south-rogers/
Southcrest Estates,rv_park,"315 W Gordon Pike, Bloomington, IN 47403, USA",Bloomington,IN,47403,Monroe County,39.1207342,-86.5354574,OPERATIONAL,3.4,184,(812) 226-9981,https://rootsmg.com/community/southcrest_estates_bloomington_in
Bluffton / Fort Wayne South KOA Journey,rv_park,"1625 W Lancaster St, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7461727,-85.1934997,OPERATIONAL,4.1,332,(260) 824-0127,https://koa.com/campgrounds/bluffton/?utm_source=google&utm_medium=organic&utm_campaign=gbp
Bluffton Woods Manufactured Home Community,rv_park,"404 Eastmoor Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7431221,-85.1586837,OPERATIONAL,3.6,99,(260) 824-3874,https://www.bayshorehomesales.com/communities/blufftonwoods?utm_campaign=WebsiteURL&utm_medium=organic&utm_source=GMB
Creekside (Prev Mendenhalls) RV/Mobile Park,rv_park,"3427 IN-124, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7427635,-85.1574606,OPERATIONAL,4.0,24,(260) 824-5365,
Maple Grove Estates,rv_park,"1056 Crescent Dr, Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7303338,-85.1822667,OPERATIONAL,3.8,24,(260) 824-0078,
Ouabache State Park Campground,campground,"Bluffton, IN 46714, USA",Bluffton,IN,46714,Wells County,40.7191391,-85.0987545,OPERATIONAL,4.6,14,(260) 824-0926,https://www.in.gov/dnr/state-parks/parks-lakes/ouabache-state-park/?utm_source=Web&utm_medium=&utm_campaign=&utm_term=&utm_content=
Walnut Grove Campground,campground,"7440 W 400 N, Boggstown, IN 46110, USA",Boggstown,IN,46110,Shelby County,39.5870680,-85.9220770,OPERATIONAL,4.1,116,,http://walnutgrovecg.com/
Deam Lake Family Campground,campground,"Deam Lake Family Campground, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4739225,-85.8638826,OPERATIONAL,4.4,195,,
Deam Lake Horse Campground,campground,"Deam Lake Horse Campground, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4742181,-85.8605298,OPERATIONAL,4.4,35,,
Deam Lake State Recreation Area,campground,"1217 Deam Lake Rd, Borden, IN 47106, USA",Borden,IN,47106,Clark County,38.4667354,-85.8619667,OPERATIONAL,4.4,1912,(812) 246-5421,http://www.in.gov/dnr/forestry/4825.htm
Fallen Rock RV Parke & Campground,campground,"8816 S Fallen Rock Rd, Brazil, IN 47834, USA",Brazil,IN,47834,Parke County,39.6381480,-87.0588320,OPERATIONAL,4.6,66,(765) 672-4301,http://fallenrockrvparke.com/
"Happy Campers Campground, Inc.",campground,"7233 N County Rd 500 E, Brazil, IN 47834, USA",Brazil,IN,47834,Clay County,39.4923028,-87.0177522,OPERATIONAL,4.7,47,(812) 239-6263,https://www.hipcamp.com/en-US/land/indiana-happy-campers-campground-r57hy0kq?utm_source=google_maps&utm_campaign=suggest_website
Pla-Mor Campground,campground,"2162 US-6, Bremen, IN 46506, USA",Bremen,IN,46506,Marshall County,41.4553531,-86.1010936,OPERATIONAL,4.3,401,(574) 546-3665,https://pla-mor.net/index.html
Rupert's Resort Campground,campground,"3408 W Shore Dr, Bremen, IN 46506, USA",Bremen,IN,46506,Marshall County,41.4299543,-86.2374123,OPERATIONAL,3.9,129,(574) 276-7595,http://rupertsresortcampground.com/
Willow Rose RV Park,campground,"3203 E Allen St, Bridgeton, IN 47836, USA",Bridgeton,IN,47836,Parke County,39.6474093,-87.1748514,OPERATIONAL,4.4,14,(812) 814-9951,http://www.willowroseproperties.com/rvpark_index.htm
Eby's Pines RV Park & Campground,rv_park,"14588 IN-120, Bristol, IN 46507, USA",Bristol,IN,46507,Elkhart County,41.7232088,-85.7485187,OPERATIONAL,4.1,599,(574) 848-4583,http://www.ebyspines.com/
Timberbrook Manufactured Home Community,rv_park,"54686 Co Rd 19, Bristol, IN 46507, USA",Bristol,IN,46507,Elkhart County,41.7010301,-85.8699178,OPERATIONAL,3.0,275,(574) 848-5552,
Indian-Celina Lakes Recreation Area,campground,"20230 St Croix Pl, Bristow, IN 47515, USA",Bristow,IN,47515,Perry County,38.1967060,-86.6093319,OPERATIONAL,4.6,97,(877) 444-6777,https://www.fs.usda.gov/r09/hoosier/recreation/indian-celina-lakes-recreation-area
Indian-Celina Lakes South Slope Campground,campground,"Bristow, IN 47515, USA",Bristow,IN,47515,Perry County,38.1931610,-86.6078119,OPERATIONAL,4.6,70,(812) 843-4880,https://www.fs.usda.gov/recarea/hoosier/recreation/recarea/?recid=41486
Franklin County Parks & Campground,campground,"7178 Blue Creek Rd, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4040917,-85.0164738,OPERATIONAL,4.7,118,(765) 647-4422,http://franklincountypark.com/
Morgan's Outdoor Adventures,campground,"7040 Whitewater River Ln, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4126186,-85.0154315,OPERATIONAL,4.5,522,(765) 647-4904,https://www.morganscanoe.com/brookville/
Mounds State Recreation Area,campground,"14108 IN-101, Brookville, IN 47012, USA",Brookville,IN,47012,Franklin County,39.4948532,-84.9632292,OPERATIONAL,4.5,1634,(765) 647-2657,https://www.in.gov/dnr/state-parks/parks-lakes/brookville-lake/
Hunter Woods Manufactured Home Community,rv_park,"9900 Sackett Dr, Brownsburg, IN 46112, USA",Brownsburg,IN,46112,Hendricks County,39.8216323,-86.3484878,OPERATIONAL,3.3,49,(317) 852-4719,http://www.hunterwoodsmhc.com/
Hillview Mobile Home Court,rv_park,"420 S Asher St, Brownstown, IN 47220, USA",Brownstown,IN,47220,Jackson County,38.8739318,-86.0468673,OPERATIONAL,3.6,37,(812) 358-3425,
Bruceville Rod & Gun Club,campground,"6015 N Rod and Gun Club, Bruceville, IN 47516, USA",Bruceville,IN,47516,Knox County,38.7663440,-87.4006467,OPERATIONAL,4.8,32,(812) 324-9284,https://www.facebook.com/BrucevilleRodAndGunClub?mibextid=LQQJ4d
Tall Oaks Family Campground,campground,"8040 N Tall Oaks Ct, Buffalo, IN 47925, USA",Buffalo,IN,47925,White County,40.8985085,-86.7240628,OPERATIONAL,4.2,50,(574) 278-7181,https://www.talloaksin.com/
Wood's Campground,campground,"10532 N Carthage Pike, Carthage, IN 46115, USA",Carthage,IN,46115,Rush County,39.7640254,-85.5425146,OPERATIONAL,4.3,100,(765) 565-6718,
Cotton Wood Camp Grounds,campground,"6271 Campground, Cedar Grove, IN 47016, USA",Cedar Grove,IN,47016,Franklin County,39.3510747,-84.9212044,OPERATIONAL,4.6,61,(317) 665-3875,
Cedar Lake Ministries RV Park,rv_park,"8816 W 137th Ave, Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303,Lake County,41.3710235,-87.4433500,OPERATIONAL,4.3,134,(219) 374-5941,https://www.cedarlakeministries.org/rv-park/
Cedar Lake Mobile Home Community,rv_park,"Cedar Lake, IN 46303, USA",Cedar Lake,IN,46303,Lake County,41.3756968,-87.4430444,OPERATIONAL,3.8,18,(219) 225-2105,https://cedarlakemhc.com/contact/
Camp Krietenstein,campground,"6445 E County Rd 575 N, Center Point, IN 47840, USA",Center Point,IN,47840,Putnam County,39.4745293,-86.9836333,OPERATIONAL,4.7,98,(812) 236-5016,http://campkrietenstein.org/
Pinecrest Pointe Mobile Home Park,rv_park,"833 Tanglewood Dr, Chandler, IN 47610, USA",Chandler,IN,47610,Warrick County,38.0457802,-87.3548695,OPERATIONAL,3.6,69,(812) 925-3355,https://yougotithomes.com/community/pinecrest-pointe/
Summit View Pointe Mobile Home Park,rv_park,"500 Navajo Trce, Chandler, IN 47610, USA",Chandler,IN,47610,Warrick County,38.0314598,-87.3664550,OPERATIONAL,3.4,16,(812) 870-0136,https://yougotithomes.com/summit-view-pointe/
Campground Charlestown State Park,campground,"Charlestown, IN 47111, USA",Charlestown,IN,47111,Clark County,38.4322337,-85.6349295,OPERATIONAL,4.5,107,(812) 256-5600,https://www.in.gov/dnr/state-parks/parks-lakes/charlestown-state-park/
Tunnel Mill Reservation,campground,"Charlestown, IN 47111, USA",Charlestown,IN,47111,Clark County,38.4839058,-85.6211231,OPERATIONAL,4.7,108,(877) 334-2674,https://lhcbsa.org/tunnel-mill-scout-reservation/
"Royal Oaks MHP, LLC",rv_park,"4801 County Rd 67, Chesterfield, IN 46017, USA",Chesterfield,IN,46017,Madison County,40.1104814,-85.5807199,OPERATIONAL,4.3,47,(765) 378-9120,
Dunewood Campground,campground,"1 Golf Wood Rd, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.6720808,-86.9849727,OPERATIONAL,4.5,557,(219) 395-1882,https://www.nps.gov/indu/planyourvisit/campgrounds.htm
Forest Oaks Mobile Home Park,rv_park,"1 Canterbury Cir, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.5654034,-87.0973451,OPERATIONAL,3.6,111,(219) 926-5867,https://cairncommunities.com/community/forest-oaks-mhc/
Indiana Dunes State Park Campground Showers and Bathrooms,campground,"Electric Campground, 1600 N 25 E, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.6576460,-87.0553794,OPERATIONAL,4.5,157,(219) 926-1952,https://indianastateparks.reserveamerica.com/
Sand Creek Campground,campground,"1000N N 350 E, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.5797301,-87.0022825,OPERATIONAL,3.8,336,(219) 926-7482,https://sandcreekcamp.com/
Lake Lincoln Electric Campground,campground,"Lake Lincoln Campground, Chrisney, IN 47611, USA",Chrisney,IN,47611,Spencer County,38.1058394,-86.9922522,OPERATIONAL,4.6,36,,
Blue Lake Campground,campground,"5453 N Blue Lake Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2438576,-85.3509213,OPERATIONAL,3.6,205,(260) 693-2265,https://www.bluelakeindiana.com/
Blue Ridge Estates,rv_park,"6560 N 650 E, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2597086,-85.3658554,OPERATIONAL,3.5,28,(260) 508-3156,https://www.blueridgeestatesmhc.com/
Davis Lakeside Campground,rv_park,"7209 E Harrold Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2374303,-85.3544489,OPERATIONAL,4.5,61,(260) 602-9414,
Edgewater Crossing Manufactured Home Community,rv_park,"1020 Seaport Dr, Cicero, IN 46034, USA",Cicero,IN,46034,Hamilton County,40.1055610,-86.0318501,OPERATIONAL,4.1,21,(317) 649-5917,https://www.americanmobilehomecommunities.com/edgewater-crossing
White River Campground,rv_park,"11299 E 234th St, Cicero, IN 46034, USA",Cicero,IN,46034,Hamilton County,40.1285505,-85.9680467,OPERATIONAL,4.6,557,(317) 770-4430,https://www.hamiltoncounty.in.gov/1942/White-River-Campground
Louisville North Campground,rv_park,"900 Marriott Dr, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.2790723,-85.7543825,OPERATIONAL,3.7,497,(812) 282-4474,http://louisvillenorthcampground.com/
Silver Creek RV Park,rv_park,"2411 Addmore Ln, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3418635,-85.7615932,OPERATIONAL,4.1,204,(812) 283-4321,https://silvercreekrvparkin.com/
Silver Lakes Pointe Mobile Home Park,rv_park,"5935 US-31, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3505151,-85.7503288,OPERATIONAL,3.6,195,(812) 282-6667,https://yougotithomes.com/community/silver-lakes-pointe/
Wellington Green,rv_park,"1350 Progress Way, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3347283,-85.7620098,OPERATIONAL,3.9,246,(812) 288-6095,https://liveatwellingtongreen.com/
Wabash Park Campground,campground,"304 E County Rd 650 S, Clay City, IN 47841, USA",Clay City,IN,47841,Clay County,39.2906880,-87.1045368,OPERATIONAL,4.9,66,(800) 704-3945,https://wabashparkcamp.org/
Clermont Lions Club,rv_park,"3201 Tansel Rd, Clermont, IN 46234, USA",Clermont,IN,46234,Marion County,39.8111205,-86.3199324,OPERATIONAL,4.6,135,(463) 298-8789,https://clermontlionsclub.com/
Thousand Trails Horseshoe Lakes,rv_park,"12962 Horseshoe Ln, Clinton, IN 47842, USA",Clinton,IN,47842,Vermillion County,39.6953244,-87.5054699,OPERATIONAL,3.7,78,(765) 832-2487,https://thousandtrails.com/indiana/horseshoe-lakes-rv-campground/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing
Blackhawk 2 Campground,campground,"2120 W County Rd 1050 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5070090,-86.8900500,OPERATIONAL,4.9,15,(765) 795-4795,https://www.blackhawkcampground2.com/
Cloverdale / Indianapolis West KOA Journey,campground,"2789 E County Rd 800 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5457426,-86.7989488,OPERATIONAL,3.7,188,(765) 795-3294,https://koa.com/campgrounds/indianapolis-west/
Dogwood Springs Campground,campground,"8105 IN-243, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5441189,-86.8722962,OPERATIONAL,4.4,22,(765) 653-2461,http://dogwoodsprings.org/
Lieber State Recreation Area,,"1317 W Lieber Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,,39.4777000,-86.8799462,OPERATIONAL,4.6,1490,(765) 276-0194,https://on.in.gov/liebersra
